language,package,module,source,line,local_version,status,lock_status
Python,numpy,numpy,analysis/tcr/analyze_TCR_evidence.py,13,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,analysis/tcr/analyze_TCR_evidence.py,14,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy,analysis/tcr/analyze_TCR_evidence.py,15,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy.io,analysis/tcr/analyze_TCR_evidence.py,16,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,anndata,anndata,analysis/clinical/analyze_TWEAK_SORL1_axis.py,14,0.11.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,analysis/clinical/analyze_TWEAK_SORL1_axis.py,15,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,analysis/clinical/analyze_TWEAK_SORL1_axis.py,16,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy,analysis/clinical/analyze_TWEAK_SORL1_axis.py,17,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,analysis/programmes/analyze_cross_organ_receiver_programs.py,9,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,analysis/programmes/analyze_cross_organ_receiver_programs.py,10,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy,analysis/programmes/analyze_cross_organ_receiver_programs.py,11,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
R,readxl,readxl,analysis/clinical/audit_icb_guardrail_inputs.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/clinical/audit_icb_guardrail_inputs.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,msigdbr,msigdbr,analysis/historical_selection/audit_organoid_offtarget_pathways.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,data.table,data.table,analysis/historical_selection/audit_organoid_offtarget_pathways.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
R,fgsea,fgsea,analysis/historical_selection/audit_organoid_offtarget_pathways.R,,,SEE_R_INVENTORY,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,data_prep/patients/build_core_sample_inventory.py,9,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,data_prep/downloads/build_download_manifest.py,11,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,plotting/tables/historical/build_final_synthesis_tables.py,8,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,plotting/tables/historical/build_final_synthesis_tables.py,9,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,anndata,anndata,data_prep/patients/build_h5ad_pseudobulk.py,12,0.11.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,data_prep/patients/build_h5ad_pseudobulk.py,13,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,data_prep/patients/build_h5ad_pseudobulk.py,14,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy,data_prep/patients/build_h5ad_pseudobulk.py,15,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,scipy,scipy.io,data_prep/patients/build_h5ad_pseudobulk.py,16,1.14.1,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,pandas,pandas,workflow/recorded_provenance/build_reproducibility_inventory.py,8,2.2.3,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
Python,numpy,numpy,data_prep/patients/build_spatial_sample_pseudobulk.py,18,2.0.2,INSTALLED_LOCAL,NOT_A_HISTORICAL_LOCK
